id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1333851930515345418	1333851930515345418	2020-12-01 13:14:16 Central Standard Time	2020-12-01	13:14:16	-0600	1064887197713743875	inbarcohen13	Inbar Cohen		We will forever be grateful to President Trump! Thank you, President #Trump! 🙏  Retweet if you agree!  https://t.co/WyrjaOJh5t	en	[]	[]	['https://pbs.twimg.com/media/EoLLQu5XIAA2JQe.jpg']	0	5	6	['trump']	[]	https://twitter.com/InbarCohen13/status/1333851930515345418	False		1	https://pbs.twimg.com/media/EoLLQu5XIAA2JQe.jpg							[]				
1333850654624927746	1333850654624927746	2020-12-01 13:09:12 Central Standard Time	2020-12-01	13:09:12	-0600	817783515341320193	maxime7807	Maxime		Bon courage à la Cour Supreme pour valider les élections dans un tel bordel sachant en plus très bien que #Trump a été volé	fr	[]	[]	[]	0	3	5	['trump']	[]	https://twitter.com/maxime7807/status/1333850654624927746	False		0								[]				
1333850532079865860	1333850532079865860	2020-12-01 13:08:43 Central Standard Time	2020-12-01	13:08:43	-0600	396868550	benosey	🐸 CHARLIE WARD SHOW 🐸 THE GESARA CLUB 🐸		#CNN #FOX  #ITV  #BBC  COMPROMISED    https://t.co/5guYnq1OK8   #MASKS  #BIDEN   #TRUMP	en	[]	['https://youtu.be/uW-z287KQzg']	[]	1	10	40	['cnn', 'fox', 'itv', 'bbc', 'masks', 'biden', 'trump']	[]	https://twitter.com/BeNosey/status/1333850532079865860	False		0								[]				
1333850253422837761	1333850253422837761	2020-12-01 13:07:36 Central Standard Time	2020-12-01	13:07:36	-0600	966612436978581504	aoecoin	"Alpha OmegaEnergy ""The Energy Kraken"""		"#Breaking #BreakingNews  🚨🚨🚨💥 Hand ""Recount"" of FAKE BALLOTS w' ZERO Verification of genuine ballots or not has #Trump 1,643 count at 2to1 Versus 865 #JoeBiden AGAIN showing Probable Cause! As ""REMOTE ACCESS TECHNICIAN"" on site moving files between machines &amp; TOOK SERVER! #GA  https://t.co/SY3enh6L1G"	en	[]	[]	['https://pbs.twimg.com/media/EoLJttwVkAAOvhN.jpg']	1	31	51	['breaking', 'breakingnews', 'trump', 'joebiden', 'ga']	[]	https://twitter.com/AOECOIN/status/1333850253422837761	False		1	https://pbs.twimg.com/media/EoLJttwVkAAOvhN.jpg							[]				
1333849974325481472	1333849974325481472	2020-12-01 13:06:30 Central Standard Time	2020-12-01	13:06:30	-0600	16396368	ktnv	KTNV 13 Action News		Gov. #Sisolak on #Trump: His 'misleading' COVID rhetoric is 'dangerous, reckless'  https://t.co/ZcAVOTJtLY	en	[]	['https://www.ktnv.com/news/political/elections-local/gov-sisolak-on-trump-his-misleading-covid-rhetoric-is-dangerous-reckless']	[]	7	0	10	['sisolak', 'trump']	[]	https://twitter.com/KTNV/status/1333849974325481472	False		0								[]				
1333849475803123719	1333849475803123719	2020-12-01 13:04:31 Central Standard Time	2020-12-01	13:04:31	-0600	834529854339088390	trumptweets2020	DONALD J. TRUMPier		I’m SUING to reverse #Biden’s #Wisconsin win! My crack(addicted)legal team is getting around ZERO evidence of voter fraud with this UNDENIABLE legal argument: I’m so GREAT &amp; BELOVED that the proof of CHEATING is that I LOST! It makes SENSE if you don’t THINK about it! #Trump	en	[]	[]	[]	0	1	8	['biden', 'wisconsin', 'trump']	[]	https://twitter.com/Trumptweets2020/status/1333849475803123719	False		0								[]				
1333848339297824769	1333848339297824769	2020-12-01 13:00:00 Central Standard Time	2020-12-01	13:00:00	-0600	19553409	rasmussen_poll	Rasmussen Reports		Have you seen #Trump's daily job approval ratings for today?...  https://t.co/mazBCWoIMy @POTUS  https://t.co/AAibzpXBnS	en	[{'screen_name': 'potus', 'name': 'president trump', 'id': '822215679726100480'}]	['http://bit.ly/preztrack']	['https://pbs.twimg.com/media/EoKv1gpXYAEnaZe.jpg']	3	9	43	['trump']	[]	https://twitter.com/Rasmussen_Poll/status/1333848339297824769	False		1	https://pbs.twimg.com/media/EoKv1gpXYAEnaZe.jpg							[]				
1333847367028797441	1333847367028797441	2020-12-01 12:56:08 Central Standard Time	2020-12-01	12:56:08	-0600	270921976	mog7546	Michael O'Grady		#Trump CORRUPTION   He is Now Demanding Republicans 'Call Off' the Georgia Special Election: 'It Won’t Be Needed'  “Do something Brian Kemp,” Trump tweeted at the Republican governor of the state.   #MOG   https://t.co/S5Xq53vL3V via @mediaite	en	[{'screen_name': 'mediaite', 'name': 'mediaite', 'id': '29465136'}]	['https://mediaite.com/a/fcjec']	[]	1	5	7	['trump', 'mog']	[]	https://twitter.com/mog7546/status/1333847367028797441	False		0								[]				
1333846404364689411	1333846404364689411	2020-12-01 12:52:19 Central Standard Time	2020-12-01	12:52:19	-0600	1307158239595974656	gdesfaits	DesFaits.com		STRATÉGIQUE: Le Président #Trump, décret du 12 septembre 2018, donnant prétexte au blocage des biens et transferts d’argent, sans notification préalable, appartenant à des personnes ayant fait l’objet d’une ingérence étrangère lors de l’élection 2020 !   https://t.co/oVzrHxKAey	fr	[]	['https://www.dreuz.info/2020/12/01/le-president-trump-a-t-il-piege-les-tricheurs-democrates/']	[]	1	12	26	['trump']	[]	https://twitter.com/gDesFaits/status/1333846404364689411	False		0								[]				
1333845087479083008	1333845087479083008	2020-12-01 12:47:05 Central Standard Time	2020-12-01	12:47:05	-0600	396868550	benosey	🐸 CHARLIE WARD SHOW 🐸 THE GESARA CLUB 🐸		 https://t.co/EKbhs1oX2p  Dr Corsi NEWS 11-30-20:   New eBook TRUMP WINS! 100% Certain.   [BM]  😉  #TRUMP	fr	[]	['https://www.youtube.com/watch?v=RCnh4gShFAU&feature=youtu.be']	[]	2	7	46	['trump']	[]	https://twitter.com/BeNosey/status/1333845087479083008	False		0								[]				
1333844630773792768	1333844630773792768	2020-12-01 12:45:16 Central Standard Time	2020-12-01	12:45:16	-0600	1110591255338192896	commonsense_tv	CommonSenseTV		Begrijpt iedereen wel dat #Trump ook voor onze vrijheid strijdt?  Hebben zoveel mensen echt niet door wat het doel van de Democraten is en wat het inhoudt wanneer #Biden in het Witte Huis komt te zitten? Wij denken van niet.  #vrijheid of #socialisme? 👇🇳🇱  https://t.co/nEEXczdtGC	nl	[]	['https://commonsensetv.nl/begrijpt-iedereen-wel-dat-donald-trump-ook-voor-onze-vrijheid-strijdt/']	[]	5	4	18	['trump', 'biden', 'vrijheid', 'socialisme']	[]	https://twitter.com/CommonSense_TV/status/1333844630773792768	False		0								[]				
1333843419135926281	1333843419135926281	2020-12-01 12:40:27 Central Standard Time	2020-12-01	12:40:27	-0600	299273962	laurie_garrett	Laurie Garrett		In his parting shot against Nature and for the oil industry, #Trump is taking bids on the #ArcticNationalWildlifeRefuge -- but HA! Every major bank is saying NO to extending loans for oil &amp; gas exploration in the region.  https://t.co/g2cwh08uv0 and  https://t.co/spsJMewR2z	en	[]	['https://www.bloomberg.com/news/articles/2020-11-30/bofa-says-it-won-t-finance-oil-and-gas-exploration-in-the-arctic', 'https://www.wilderness.org/articles/blog/five-major-banks-refuse-fund-arctic-refuge-oil-drilling']	[]	19	132	520	['trump', 'arcticnationalwildliferefuge']	[]	https://twitter.com/Laurie_Garrett/status/1333843419135926281	False		0								[]				
1333843001639112704	1333840457839816706	2020-12-01 12:38:47 Central Standard Time	2020-12-01	12:38:47	-0600	745661429865295872	dolphfinn33	Nightmare is Over		@real_defender #Trump supporters raising their hand  https://t.co/E3LWPCaS9N	en	[]	[]	['https://pbs.twimg.com/media/EoLDIxWWEAI2q2A.jpg']	4	0	56	['trump']	[]	https://twitter.com/Dolphfinn33/status/1333843001639112704	False		1	https://pbs.twimg.com/media/EoLDIxWWEAI2q2A.jpg							[{'screen_name': 'real_defender', 'name': 'RD', 'id': '49034507'}]				
1333842634473938944	1333842634473938944	2020-12-01 12:37:20 Central Standard Time	2020-12-01	12:37:20	-0600	810818800627175425	grandpasnarky	Grandpa Snarky #FBR		In a #Trump fundraising email/letter begging for money to fight rampant voter fraud, the campaign used Edison County in Michigan as an example of having rigged ballots. The problem is, there is no Edison County in MI.	en	[]	[]	[]	5	28	83	['trump']	[]	https://twitter.com/GrandpaSnarky/status/1333842634473938944	False		0								[]				
1333842304394817537	1333774232669605889	2020-12-01 12:36:01 Central Standard Time	2020-12-01	12:36:01	-0600	1634552636	mterr337	Michael 🌊🧢🌊 #BidenHarris2020		@realTuckFrumper @LindsayGrahamSC @LindsayGrahamSC...  If you're concerned about #trump being investigated by the next AG of the US, you can probably rest easy.  However, your concern should be more on the ongoing investigations of trump by the State of New York and the indictments that are certain to come.	en	[]	[]	[]	1	4	9	['trump']	[]	https://twitter.com/mterr337/status/1333842304394817537	False		0								[{'screen_name': 'realTuckFrumper', 'name': '#TuckFrump', 'id': '55060090'}, {'screen_name': 'LindsayGrahamSC', 'name': 'Lindsay Graham Fake', 'id': '3289557010'}]				
1333842299105800194	1333842299105800194	2020-12-01 12:36:00 Central Standard Time	2020-12-01	12:36:00	-0600	3353176035	almonitorturkce	Al-Monitor Türkçe		Fehim Taştekin yazdı: #Türkiye Suriye'deki askeri hareketliliğini artırıyor. Askeri tahkimat, #Trump gitmeden sahadaki durumu değiştirme arayışı olarak okunuyor @fehimtastekin  https://t.co/hufP99RD8z	tr	[{'screen_name': 'fehimtastekin', 'name': 'fehim taştekin', 'id': '91134100'}]	['http://almon.co/3f2d']	[]	0	11	16	['türkiye', 'trump']	[]	https://twitter.com/AlMonitorTurkce/status/1333842299105800194	False		0								[]				
